,NAME,ADJUSTMENT,HOLES,RELATIVE_PAR,SG_PUTTING,SG_OTT,SG_APR,SG_ARG,WINS,TOP_10S,1ST,2ND,3RD,YEAR,SCORE_AVERAGE,DRIVING_DISTANCE,DRIVING_ACCURACY,DRIVING_USAGE,GREENS_IN_REGULATION,TOTAL_SG
0,Rory McIlroy,-40.848,972.0,-0.33,2.336,1.072,1.002,0.273,4.0,10.0,4.0,2.0,1.0,2012,68.87318518518518,310.07547169811323,0.5661375661375662,0.10905349794238683,0.6635802469135802,2.347
1,Tiger Woods,-58.45399999999999,1206.0,-0.29,16.282,0.5529999999999999,1.224,0.19399999999999998,3.0,9.0,3.0,1.0,2.0,2012,68.90367164179105,297.4328358208956,0.6392742796157951,0.1111111111111111,0.6757877280265339,1.971
2,Jim Furyk,-66.464,1512.0,-0.25,27.493000000000002,0.225,0.83,0.275,0.0,7.0,0.0,2.0,1.0,2012,69.304,279.98192771084337,0.7070879590093937,0.10978835978835977,0.6818783068783069,1.33
3,Jason Dufner,-35.635999999999996,1476.0,-0.29,9.777000000000001,0.5529999999999999,0.519,0.222,2.0,8.0,2.0,1.0,0.0,2012,69.45565853658536,292.3888888888889,0.6690017513134852,0.1097560975609756,0.6917344173441734,1.294
4,Matt Kuchar,-45.88399999999999,1476.0,-0.27,31.151,0.11,0.49,0.309,1.0,9.0,1.0,0.0,1.0,2012,69.4770243902439,286.1951219512195,0.6506129597197898,0.1111111111111111,0.6537940379403794,0.909
5,Adam Scott,-58.096000000000004,1044.0,-0.28,-5.66,0.605,0.494,0.203,0.0,5.0,0.0,1.0,1.0,2012,69.53282758620689,304.6120689655172,0.5960591133004927,0.1111111111111111,0.6657088122605364,1.3019999999999998
6,Justin Rose,-45.636,1224.0,-0.25,-6.468,0.355,0.84,0.5670000000000001,1.0,8.0,1.0,1.0,1.0,2012,69.5494705882353,290.94074074074075,0.6582278481012658,0.11029411764705882,0.7034313725490197,1.7619999999999998
7,Dustin Johnson,-41.188,1206.0,-0.29,9.8,0.72,0.638,-0.035,1.0,9.0,1.0,0.0,1.0,2012,69.56435820895523,310.2121212121212,0.563034188034188,0.10945273631840796,0.6575456053067993,1.3230000000000002
8,Bubba Watson,-22.814,1188.0,-0.3,-14.300999999999998,1.485,0.265,0.059000000000000004,1.0,7.0,1.0,2.0,0.0,2012,69.63918181818181,315.54545454545456,0.5883620689655172,0.1111111111111111,0.6994949494949495,1.8090000000000002
9,Luke Donald,-41.405,1116.0,-0.28,39.258,-0.188,0.5820000000000001,0.43,1.0,8.0,1.0,0.0,2.0,2012,69.68701612903226,280.07258064516134,0.6516203703703703,0.1111111111111111,0.649641577060932,0.8240000000000001
10,Louis Oosthuizen,-38.435,1134.0,-0.28,-0.212,0.496,0.478,0.006,0.0,5.0,0.0,2.0,1.0,2012,69.70738095238093,299.52419354838713,0.6241457858769932,0.109347442680776,0.6878306878306878,0.98
11,Bo Van Pelt,-42.395,1494.0,-0.3,35.208,0.45,0.665,-0.22,0.0,10.0,0.0,1.0,0.0,2012,69.71813253012047,296.0963855421686,0.6479238754325259,0.1111111111111111,0.6706827309236948,0.895
12,Padraig Harrington,-50.628,1134.0,-0.28,-0.9129999999999999,0.193,0.331,0.384,0.0,3.0,0.0,0.0,0.0,2012,69.73606349206351,293.6111111111111,0.5986316989737742,0.1111111111111111,0.6216931216931217,0.9079999999999999
13,Zach Johnson,-35.818000000000005,1692.0,-0.3,42.0,0.11199999999999999,0.342,0.17600000000000002,2.0,6.0,2.0,2.0,0.0,2012,69.82108510638298,281.0904255319149,0.6852559205500381,0.1111111111111111,0.6495271867612293,0.63
14,Brandt Snedeker,-20.455,1404.0,-0.31,55.901,-0.276,0.11,0.316,2.0,7.0,2.0,1.0,1.0,2012,69.84032051282051,288.68589743589746,0.6049723756906077,0.1111111111111111,0.6374643874643875,0.14999999999999994
